cat,F1,Precision,Recall,cIoU,dataset,seed
swinBcitySemFlipCos_ce,0.8623583316802979,0.8893676996231079,0.8369411826133728,0.7580228447914124,egybcd,1337
swinBcitySemFlipCos_ce,0.9075937867164612,0.9177903532981871,0.8976212739944458,0.8308207392692566,gvlm,1337
swinBcitySemFlipCos_ce,0.814792275428772,0.8739801049232483,0.7631126642227173,0.6874679327011108,clcd,1337
swinBcitySemFlipCos_ce,0.5251678228378296,0.5358440279960632,0.5149087309837341,0.3560864925384521,oscd96,1337
swinBcitySemFlipCos_ce,0.8194973468780518,0.903885006904602,0.7495213150978088,0.6941936016082764,sysu,564738
swinBcitySemFlipCos_ce,0.917665421962738,0.9316585659980774,0.904086410999298,0.8478574752807617,levir,564738
swinBcitySemFlipCos_ce,0.8588085770606995,0.8884043097496033,0.8311210870742798,0.7525542974472046,egybcd,564738
swinBcitySemFlipCos_ce,0.9055161476135254,0.9117608666419984,0.8993564248085022,0.8273453712463379,gvlm,564738
swinBcitySemFlipCos_ce,0.8223629593849182,0.8852126002311707,0.7678462266921997,0.6983161568641663,clcd,564738
swinBcitySemFlipCos_ce,0.5300289392471313,0.5963475108146667,0.476984441280365,0.3605709969997406,oscd96,564738
